Магазин;Дата;Время;Рамка;Кол-во
M001;1/24/21;130000;1245776703;0.000
M001;1/24/21;140000;1245776706;1.000
M001;1/24/21;150000;1245776664;0.000
M001;1/24/21;160000;1245776667;2.000
M001;1/24/21;170000;1245776670;2.000
M001;1/24/21;180000;1245776673;2.000
M001;1/24/21;190000;1245776676;1.000
M001;1/24/21;200000;1245776679;0.000
M001;1/24/21;210000;1245776692;2.000
M001;1/24/21;220000;1245776695;2.000
M001;1/24/21;230000;1245776698;0.000
M001;1/25/21;080000;1245776691;0.000
M001;1/25/21;090000;1245776694;1.000
M001;1/25/21;100000;1245776697;2.000
M001;1/25/21;110000;1245776700;1.000
M001;1/25/21;120000;1245776703;1.000
M001;1/25/21;130000;1245776706;1.000
M001;1/25/21;140000;1245776692;1.000
M001;1/25/21;150000;1245776695;2.000
M001;1/25/21;160000;1245776698;1.000
M001;1/25/21;170000;1245776718;2.000
M001;1/25/21;180000;1245776665;2.000
M001;1/25/21;190000;1245776668;0.000
M001;1/25/21;200000;1245776671;1.000
M001;1/25/21;210000;1245776674;1.000
M001;1/25/21;220000;1245776677;2.000
M001;1/25/21;230000;1245776680;0.000
M001;1/26/21;080000;1245776693;1.000
M001;1/26/21;090000;1245776696;1.000
M001;1/26/21;100000;1245776699;2.000
M001;1/26/21;110000;1245776692;1.000
M001;1/26/21;120000;1245776695;1.000
M001;1/26/21;130000;1245776698;2.000
M001;1/26/21;140000;1245776701;1.000
M001;1/26/21;150000;1245776704;2.000
M001;1/26/21;160000;1245776707;1.000
M001;1/26/21;170000;1245776693;0.000
M001;1/26/21;180000;1245776696;1.000
M001;1/26/21;190000;1245776699;2.000
M001;1/26/21;200000;1245776719;1.000
M001;1/26/21;210000;1245776666;1.000
M001;1/26/21;220000;1245776669;1.000
M001;1/26/21;230000;1245776672;2.000
M001;1/27/21;080000;1245776675;1.000
M001;1/27/21;090000;1245776678;0.000
M001;1/27/21;100000;1245776691;1.000
M001;1/27/21;110000;1245776694;0.000
M001;1/27/21;120000;1245776697;2.000
M001;1/27/21;130000;1245776700;1.000
M001;1/27/21;140000;1245776693;2.000
M001;1/27/21;150000;1245776696;1.000
M001;1/27/21;160000;1245776699;1.000
M001;1/27/21;170000;1245776702;2.000
M001;1/27/21;180000;1245776705;1.000
M001;1/27/21;190000;1245776691;0.000
M001;1/27/21;200000;1245776694;1.000
M001;1/27/21;210000;1245776697;1.000
M001;1/27/21;220000;1245776700;1.000
M001;1/27/21;230000;1245776664;0.000
M001;1/28/21;080000;1245776667;0.000
M001;1/28/21;090000;1245776670;1.000
M001;1/28/21;100000;1245776673;0.000
M001;1/28/21;110000;1245776676;1.000
M001;1/28/21;120000;1245776679;0.000
M001;1/28/21;130000;1245776692;0.000
M001;1/28/21;140000;1245776695;2.000
M001;1/28/21;150000;1245776698;0.000
M001;1/28/21;160000;1245776691;1.000
M001;1/28/21;170000;1245776694;1.000
M001;1/28/21;180000;1245776697;2.000
M001;1/28/21;190000;1245776700;1.000
M001;1/28/21;200000;1245776703;1.000
M001;1/28/21;210000;1245776706;1.000
M001;1/28/21;220000;1245776664;1.000
M001;1/28/21;230000;1245776667;0.000
M001;1/29/21;080000;1245776670;2.000
M001;1/29/21;090000;1245776673;0.000
M001;1/29/21;100000;1245776676;2.000
M001;1/29/21;110000;1245776679;1.000
M001;1/29/21;120000;1245776692;2.000
M001;1/29/21;130000;1245776695;0.000
M001;1/29/21;140000;1245776698;0.000
M001;1/29/21;150000;1245776691;1.000
M001;1/29/21;160000;1245776694;2.000
M001;1/29/21;170000;1245776697;1.000
M001;1/29/21;180000;1245776700;1.000
M001;1/29/21;190000;1245776703;2.000
M001;1/29/21;200000;1245776706;1.000
M001;1/29/21;210000;1245776692;1.000
M001;1/29/21;220000;1245776695;1.000
M001;1/29/21;230000;1245776698;1.000
M001;1/30/21;080000;1245776718;0.000
M001;1/30/21;090000;1245776665;1.000
M001;1/30/21;100000;1245776668;2.000
M001;1/30/21;110000;1245776671;0.000
M001;1/30/21;120000;1245776674;2.000
M001;1/30/21;130000;1245776677;2.000
M001;1/30/21;140000;1245776680;2.000
M001;1/30/21;150000;1245776693;0.000
M001;1/30/21;160000;1245776696;1.000
M001;1/30/21;170000;1245776699;1.000
M001;1/30/21;180000;1245776692;1.000
M001;1/30/21;190000;1245776695;1.000
M001;1/30/21;200000;1245776698;1.000
M001;1/30/21;210000;1245776701;1.000
M001;1/30/21;220000;1245776704;2.000
M001;1/30/21;230000;1245776707;1.000
M001;1/31/21;080000;1245776693;1.000
M001;1/31/21;090000;1245776696;1.000
M001;1/31/21;100000;1245776699;1.000
M001;1/31/21;110000;1245776719;0.000
M001;1/31/21;120000;1245776666;1.000
M001;1/31/21;130000;1245776669;1.000
M001;1/31/21;140000;1245776672;1.000
M001;1/31/21;150000;1245776675;0.000
M001;1/31/21;160000;1245776678;1.000
M001;1/31/21;170000;1245776691;1.000
M001;1/31/21;180000;1245776694;1.000
M001;1/31/21;190000;1245776697;1.000
M001;1/31/21;200000;1245776700;0.000
M001;1/31/21;210000;1245776693;1.000
M001;1/31/21;220000;1245776696;1.000
M001;1/31/21;230000;1245776699;1.000
M001;2/1/21;080000;1245776664;1.000
M001;2/1/21;090000;1245776667;2.000
M001;2/1/21;100000;1245776670;1.000
M001;2/1/21;110000;1245776673;2.000
M001;2/1/21;120000;1245776676;0.000
M001;2/1/21;130000;1245776679;1.000
M001;2/1/21;140000;1245776692;0.000
M001;2/1/21;150000;1245776695;1.000
M001;2/1/21;160000;1245776698;1.000
M001;2/1/21;170000;1245776691;1.000
M001;2/1/21;180000;1245776694;2.000
M001;2/1/21;190000;1245776697;2.000
M001;2/1/21;200000;1245776700;1.000
M001;2/1/21;210000;1245776703;1.000
M001;2/1/21;220000;1245776706;1.000
M001;2/1/21;230000;1245776692;1.000
M001;2/2/21;080000;1245776695;1.000
M001;2/2/21;090000;1245776698;1.000
M001;2/2/21;100000;1245776718;0.000
M001;2/2/21;110000;1245776665;1.000
M001;2/2/21;120000;1245776668;1.000
M001;2/2/21;130000;1245776671;1.000
M001;2/2/21;140000;1245776674;1.000
M001;2/2/21;150000;1245776677;2.000
M001;2/2/21;160000;1245776680;1.000
M001;2/2/21;170000;1245776693;0.000
M001;2/2/21;180000;1245776696;1.000
M001;2/2/21;190000;1245776699;2.000
M001;2/2/21;200000;1245776692;1.000
M001;2/2/21;210000;1245776695;2.000
M001;2/2/21;220000;1245776698;0.000
M001;2/2/21;230000;1245776701;2.000
M001;2/3/21;080000;1245776704;1.000
M001;2/3/21;090000;1245776707;1.000
M001;2/3/21;100000;1245776693;2.000
M001;2/3/21;110000;1245776696;0.000
M001;2/3/21;120000;1245776699;2.000
M001;2/3/21;130000;1245776719;1.000
M001;2/3/21;140000;1245776666;2.000
M001;2/3/21;150000;1245776669;0.000
M001;2/3/21;160000;1245776672;1.000
M001;2/3/21;170000;1245776675;1.000
M001;2/3/21;180000;1245776678;1.000
M001;2/3/21;190000;1245776691;1.000
M001;2/3/21;200000;1245776694;1.000
M001;2/3/21;210000;1245776697;1.000
M001;2/3/21;220000;1245776700;0.000
M001;2/3/21;230000;1245776693;1.000
M001;2/4/21;080000;1245776696;2.000
M001;2/4/21;090000;1245776699;2.000
M001;2/4/21;100000;1245776702;0.000
M001;2/4/21;110000;1245776705;1.000
M001;2/4/21;120000;1245776691;2.000
M001;2/4/21;130000;1245776694;1.000
M001;2/4/21;140000;1245776697;2.000
M001;2/4/21;150000;1245776700;0.000
M001;2/4/21;160000;1245776664;0.000
M001;2/4/21;170000;1245776667;0.000
M001;2/4/21;180000;1245776670;0.000
M001;2/4/21;190000;1245776673;1.000
M001;2/4/21;200000;1245776676;1.000
M001;2/4/21;210000;1245776679;1.000
M001;2/4/21;220000;1245776692;0.000
M001;2/4/21;230000;1245776695;2.000
M001;2/5/21;080000;1245776698;2.000
M001;2/5/21;090000;1245776691;2.000
M001;2/5/21;100000;1245776694;2.000
M001;2/5/21;110000;1245776697;2.000
M001;2/5/21;120000;1245776700;1.000
M001;2/5/21;130000;1245776703;1.000
M001;2/5/21;140000;1245776706;0.000
M001;2/5/21;150000;1245776692;1.000
M001;2/5/21;160000;1245776695;1.000
M001;2/5/21;170000;1245776698;0.000
M001;2/5/21;180000;1245776718;0.000
M001;2/5/21;190000;1245776665;1.000
M001;2/5/21;200000;1245776668;1.000
M001;2/5/21;210000;1245776671;1.000
M001;2/5/21;220000;1245776674;1.000
M001;2/5/21;230000;1245776677;0.000
M001;2/6/21;080000;1245776680;1.000
M001;2/6/21;090000;1245776693;1.000
M001;2/6/21;100000;1245776696;1.000
M001;2/6/21;110000;1245776699;1.000
M001;2/6/21;120000;1245776692;2.000
M001;2/6/21;130000;1245776695;1.000
M001;2/6/21;140000;1245776698;0.000
M001;2/6/21;150000;1245776701;1.000
M001;2/6/21;160000;1245776704;2.000
M001;2/6/21;170000;1245776707;2.000
M001;2/6/21;180000;1245776693;0.000
M001;2/6/21;190000;1245776696;2.000
M001;2/6/21;200000;1245776699;2.000
M001;2/6/21;210000;1245776719;1.000
M001;2/6/21;220000;1245776666;1.000
M001;2/6/21;230000;1245776669;1.000
M001;2/7/21;080000;1245776672;2.000
M001;2/7/21;090000;1245776675;2.000
M001;2/7/21;100000;1245776678;1.000
M001;2/7/21;110000;1245776691;2.000
M001;2/7/21;120000;1245776694;2.000
M001;2/7/21;130000;1245776697;0.000
M001;2/7/21;140000;1245776700;1.000
M001;2/7/21;150000;1245776693;0.000
M001;2/7/21;160000;1245776696;2.000
M001;2/7/21;170000;1245776699;2.000
M001;2/7/21;180000;1245776702;0.000
M001;2/7/21;190000;1245776705;0.000
M001;2/7/21;200000;1245776691;1.000
M001;2/7/21;210000;1245776694;1.000
M001;2/7/21;220000;1245776697;2.000
M001;2/7/21;230000;1245776700;2.000
M001;2/8/21;080000;1245776720;1.000
M001;2/8/21;090000;1245776700;2.000
M001;2/8/21;100000;1245776693;2.000
M001;2/8/21;110000;1245776664;2.000
M001;2/8/21;120000;1245776667;1.000
M001;2/8/21;130000;1245776670;1.000
M001;2/8/21;140000;1245776673;0.000
M001;2/8/21;150000;1245776676;1.000
M001;2/8/21;160000;1245776679;0.000
M001;2/8/21;170000;1245776692;2.000
M001;2/8/21;180000;1245776695;1.000
M001;2/8/21;190000;1245776698;1.000
M001;2/8/21;200000;1245776691;1.000
M001;2/8/21;210000;1245776694;1.000
M001;2/8/21;220000;1245776697;1.000
M001;2/8/21;230000;1245776700;1.000
M001;2/9/21;080000;1245776703;0.000
M001;2/9/21;090000;1245776706;1.000
M001;2/9/21;100000;1245776692;1.000
M001;2/9/21;110000;1245776695;0.000
M001;2/9/21;120000;1245776698;1.000
M001;2/9/21;130000;1245776718;0.000
M001;2/9/21;140000;1245776665;2.000
M001;2/9/21;150000;1245776668;1.000
M001;2/9/21;160000;1245776671;2.000
M001;2/9/21;170000;1245776674;1.000
M001;2/9/21;180000;1245776677;2.000
M001;2/9/21;190000;1245776680;1.000
M001;2/9/21;200000;1245776693;1.000
M001;2/9/21;210000;1245776696;0.000
M001;2/9/21;220000;1245776699;0.000
M001;2/9/21;230000;1245776692;1.000
M001;2/10/21;080000;1245776695;1.000
M001;2/10/21;090000;1245776698;1.000
M001;2/10/21;100000;1245776701;0.000
M001;2/10/21;110000;1245776704;1.000
M001;2/10/21;120000;1245776707;2.000
M001;2/10/21;130000;1245776693;1.000
M001;2/10/21;140000;1245776696;2.000
M001;2/10/21;150000;1245776699;1.000
M001;2/10/21;160000;1245776719;2.000
M001;2/10/21;170000;1245776666;1.000
M001;2/10/21;180000;1245776669;0.000
M001;2/10/21;190000;1245776672;2.000
M001;2/10/21;200000;1245776675;2.000
M001;2/10/21;210000;1245776678;0.000
M001;2/10/21;220000;1245776691;2.000
M001;2/10/21;230000;1245776694;0.000
M001;2/11/21;080000;1245776697;1.000
M001;2/11/21;090000;1245776700;1.000
M001;2/11/21;100000;1245776693;0.000
M001;2/11/21;110000;1245776696;2.000
M001;2/11/21;120000;1245776699;2.000
M001;2/11/21;130000;1245776702;1.000
M001;2/11/21;140000;1245776705;1.000
M001;2/11/21;150000;1245776691;1.000
